fighter_name,Height,Weight,Reach,Stance,DOB
Brian Geraghty,"5' 7""",155 lbs.,,Orthodox,"Nov 04, 1980"
James Giboo,"5' 11""",170 lbs.,,Orthodox,"Jan 06, 1978"
Joseph Gigliotti,"5' 11""",185 lbs.,"69.0"" (175cm)",Orthodox,"Aug 13, 1993"
Jason Gilliam,"6' 0""",170 lbs.,,Orthodox,"Nov 31, 1972"
Ulysses Gomez,"5' 6""",125 lbs.,"68.0"" (173cm)",Orthodox,"May 25, 1983"
Lewis Gonzalez,"5' 10""",170 lbs.,"67.0"" (170cm)",Orthodox,"Sep 19, 1987"
Pearl Gonzalez,"5' 4""",115 lbs.,"68.0"" (173cm)",Orthodox,"Aug 12, 1986"
Tim Gorman,"5' 5""",135 lbs.,"68.5"" (174cm)",Southpaw,"Apr 29, 1983"
Chase Gormley,"6' 3""",265 lbs.,"77.0"" (196cm)",Orthodox,"Aug 11, 1983"
Renzo Gracie,"5' 10""",185 lbs.,,Orthodox,"Mar 11, 1967"
Rolles Gracie,"6' 4""",242 lbs.,,Orthodox,"Jul 14, 1978"
Neil Grove,"6' 6""",265 lbs.,"78.0"" (198cm)",Orthodox,"Jan 18, 1971"
Nandor Guelmino,"6' 3""",230 lbs.,"76.5"" (194cm)",,"Dec 20, 1975"
Leonardo Guimaraes,"6' 0""",185 lbs.,"73.0"" (185cm)",Orthodox,"Apr 15, 1982"
Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,"May 19, 1977"
Horacio Gutierrez,"5' 10""",145 lbs.,"69.0"" (175cm)",,"Sep 15, 1990"
John Halverson,"5' 9""",155 lbs.,,Southpaw,"Sep 08, 1972"
James Hammortree,"6' 3""",185 lbs.,,Orthodox,"Nov 29, 1983"
Collin Hart,"6' 1""",185 lbs.,"76.0"" (193cm)",Orthodox,"Oct 12, 1989"
Hayder Hassan,"5' 10""",170 lbs.,"71.5"" (182cm)",,"Oct 20, 1982"
Tommy Hayden,"5' 9""",145 lbs.,"72.0"" (183cm)",Southpaw,"Mar 11, 1986"
Josh Haynes,"5' 9""",170 lbs.,,Orthodox,"Jul 30, 1977"
Chris Heatherly,"5' 9""",155 lbs.,"68.5"" (174cm)",Orthodox,"Nov 24, 1987"
Delson Heleno,"5' 11""",185 lbs.,"72.0"" (183cm)",Orthodox,"Nov 16, 1977"
Josh Hendricks,"6' 2""",235 lbs.,,Southpaw,"Aug 28, 1976"
Cory Hendricks,"6' 3""",205 lbs.,"77.0"" (196cm)",,"May 10, 1988"
Ramiro Hernandez,"5' 9""",135 lbs.,"69.5"" (177cm)",Orthodox,"Jul 22, 1986"
Richie Hightower,"5' 8""",170 lbs.,,Orthodox,"Nov 26, 1974"
Kwan Ho Kwak,"5' 5""",135 lbs.,"70.0"" (178cm)",Switch,"Jun 18, 1989"
Sam Hoger,"6' 2""",205 lbs.,,Orthodox,"Jun 28, 1980"
Chris Holdsworth,"5' 11""",135 lbs.,"71.0"" (180cm)",,"Oct 24, 1987"
Roger Hollett,"5' 11""",205 lbs.,"73.0"" (185cm)",Orthodox,"Oct 08, 1978"
Rex Holman,"6' 3""",205 lbs.,,Southpaw,"Jan, 1, 1970"
Mark Holst,"6' 0""",155 lbs.,,Orthodox,"Aug 14, 1985"
Matt Horwich,"6' 1""",185 lbs.,"71.0"" (180cm)",Orthodox,"Oct 02, 1978"
Brian Houston,"6' 2""",185 lbs.,"78.0"" (198cm)",Orthodox,"Apr 26, 1981"
Shane Howell,"5' 8""",125 lbs.,"69.5"" (177cm)",Orthodox,"Nov 28, 1983"
Brad Imes,"6' 7""",265 lbs.,,Orthodox,"Mar 13, 1977"
Chris Indich,"5' 10""",170 lbs.,"73.0"" (185cm)",,"Apr 22, 1987"
Guto Inocente,"6' 3""",205 lbs.,"78.0"" (198cm)",Orthodox,"May 29, 1986"
Yoislandy Izquierdo,"5' 11""",155 lbs.,"72.5"" (184cm)",Southpaw,"Jan 09, 1984"
Mike Jackson,"6' 2""",170 lbs.,"74.0"" (188cm)",Orthodox,"Mar 22, 1985"
Brock Jardine,"5' 11""",170 lbs.,"73.0"" (185cm)",Orthodox,"Jul 10, 1985"
Chan-Mi Jeon,"5' 5""",115 lbs.,"67.0"" (170cm)",Orthodox,"Aug 28, 1997"
Maciej Jewtuszko,"6' 0""",155 lbs.,,Southpaw,"Jan 31, 1981"
Dashon Johnson,"5' 7""",145 lbs.,"70.5"" (179cm)",Orthodox,"Jan 25, 1988"
Marcus Jones,"6' 6""",265 lbs.,,Orthodox,"Aug 15, 1973"
Justin Jones,"5' 11""",185 lbs.,"78.5"" (199cm)",Orthodox,"Sep 06, 1987"
Scott Junk,"6' 1""",265 lbs.,,Orthodox,"Dec 17, 1978"
Emily Kagan,"5' 3""",115 lbs.,"65.5"" (166cm)",,"Jul 14, 1981"
Sirwan Kakai,"5' 5""",135 lbs.,"67.5"" (171cm)",Orthodox,"Oct 03, 1989"
David Kaplan,"5' 7""",155 lbs.,,Orthodox,"Nov 16, 1979"
Yusuke Kasuya,"5' 7""",155 lbs.,"67.0"" (170cm)",Southpaw,"Nov 16, 1989"
Julie Kedzie,"5' 5""",135 lbs.,"64.5"" (164cm)",Orthodox,"Mar 18, 1981"
CJ Keith,"6' 0""",155 lbs.,"73.0"" (185cm)",Orthodox,"Aug 09, 1986"
Steve Kennedy,"5' 11""",170 lbs.,"71.0"" (180cm)",Orthodox,"Mar 07, 1983"
Mike King,"6' 3""",185 lbs.,"75.0"" (191cm)",,"Aug 04, 1983"
John Kolosci,"5' 11""",185 lbs.,"72.0"" (183cm)",Orthodox,"Nov 26, 1974"
Pascal Krauss,"6' 1""",170 lbs.,"72.0"" (183cm)",Orthodox,"Apr 19, 1987"
Leo Kuntz,"5' 10""",155 lbs.,"74.0"" (188cm)",Orthodox,"Oct 03, 1983"
Tina Lahdemaki,"5' 2""",115 lbs.,"62.0"" (157cm)",Orthodox,"May 28, 1988"
Anthony Lapsley,"5' 9""",170 lbs.,"72.5"" (184cm)",Southpaw,"Feb 13, 1980"
Dan Lauzon,"5' 10""",155 lbs.,"72.0"" (183cm)",Orthodox,"Mar 30, 1988"
James Lee,"5' 11""",205 lbs.,,Southpaw,"Sep 22, 1973"
David Lee,"5' 10""",155 lbs.,,Orthodox,"Sep 24, 1990"
Rocky Lee,"5' 9""",145 lbs.,"68.0"" (173cm)",Orthodox,"Apr 08, 1987"
Frank Lester,"5' 11""",170 lbs.,,Orthodox,"Jun 10, 1984"
Jess Liaudin,"5' 9""",170 lbs.,,Orthodox,"Dec 21, 1973"
Jake Lindsey,"5' 11""",155 lbs.,"72.5"" (184cm)",Switch,"Jun 21, 1986"
Lucio Linhares,"6' 2""",185 lbs.,,Orthodox,"Dec 08, 1973"
Abner Lloveras,"5' 11""",155 lbs.,"72.0"" (183cm)",,"Sep 04, 1982"
Dileno Lopes,"5' 5""",135 lbs.,"65.5"" (166cm)",,"Sep 26, 1984"
Steve Lopez,"5' 11""",155 lbs.,,Orthodox,"Jul 30, 1984"
Jorge Lopez,"5' 10""",170 lbs.,"72.0"" (183cm)",Orthodox,"Nov 21, 1988"
Nate Loughran,"6' 2""",185 lbs.,,Orthodox,"Jul 28, 1980"
Ian Loveland,"5' 8""",145 lbs.,,Orthodox,"Sep 07, 1983"
Waylon Lowe,"5' 7""",145 lbs.,"65.0"" (165cm)",Southpaw,"Oct 31, 1980"
Matt Lucas,"6' 1""",205 lbs.,"73.0"" (185cm)",,"Dec 27, 1973"
Mike Lullo,"5' 8""",145 lbs.,"70.0"" (178cm)",Orthodox,"Jul 24, 1979"
Stevie Lynch,"5' 10""",170 lbs.,,Orthodox,"Jan 1, 1970"
War Machine,"5' 11""",170 lbs.,"70.0"" (178cm)",Orthodox,"Nov 30, 1981"
Ryan Madigan,"6' 0""",170 lbs.,,Orthodox,"Jan 1, 1977"
Bernardo Magalhaes,"5' 9""",155 lbs.,"68.0"" (173cm)",Orthodox,"Apr 08, 1981"
Nazareno Malegarie,"5' 8""",155 lbs.,"70.0"" (178cm)",,"May 16, 1986"
Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,"Feb 01, 1980"
Jon Manley,"6' 1""",170 lbs.,"74.0"" (188cm)",Orthodox,"Jul 07, 1986"
Jose Maria,"5' 5""",125 lbs.,"65.0"" (165cm)",Orthodox,"Jan 04, 1982"
Enrique Marin,"5' 10""",170 lbs.,"75.0"" (191cm)",,"Sep 02, 1986"
Tateki Matsuda,"5' 7""",125 lbs.,"65.5"" (166cm)",Orthodox,"Feb 27, 1986"
Jack May,"6' 8""",255 lbs.,"78.0"" (198cm)",Switch,"Apr 14, 1981"
Michael McBride,"6' 1""",155 lbs.,"75.0"" (191cm)",Orthodox,"Mar 09, 1986"
Ryan McGillivray,"5' 11""",170 lbs.,"73.0"" (185cm)",,"Sep 27, 1986"
Antonio McKee,"5' 8""",155 lbs.,"72.0"" (183cm)",Southpaw,"Mar 12, 1970"
Anistavio Medeiros,"5' 6""",145 lbs.,"70.0"" (178cm)",Orthodox,"May 01, 1988"
Brian Melancon,"5' 8""",170 lbs.,"70.0"" (178cm)",Orthodox,"May 28, 1982"
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,"Mar 24, 1983"
Eddie Mendez,"5' 10""",185 lbs.,"77.0"" (196cm)",,"Jan 16, 1984"
Joe Merritt,"6' 0""",170 lbs.,"73.0"" (185cm)",Orthodox,"Mar 07, 1984"
Jonathan Meunier,"6' 3""",170 lbs.,"75.0"" (191cm)",Switch,"Aug 04, 1987"
David Michaud,"5' 9""",155 lbs.,"71.5"" (182cm)",Orthodox,"Nov 10, 1988"
Billy Miles,"5' 10""",170 lbs.,,Orthodox,"Apr 28, 1978"
Jason Miller,"6' 1""",185 lbs.,"72.0"" (183cm)",Orthodox,"Dec 24, 1980"
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,"Apr 19, 1972"
Danny Mitchell,"6' 2""",170 lbs.,"74.5"" (189cm)",Orthodox,"Aug 08, 1986"
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,"Sep 04, 1978"
Eiji Mitsuoka,"5' 7""",145 lbs.,"68.0"" (173cm)",Southpaw,"Jan 01, 1976"
Steve Montgomery,"6' 4""",185 lbs.,"76.0"" (193cm)",Southpaw,"Dec 19, 1990"
Leonardo Morales,"5' 8""",135 lbs.,"68.0"" (173cm)",Southpaw,"Dec 22, 1992"
Richardson Moreira,"6' 2""",185 lbs.,"72.0"" (183cm)",Orthodox,"Mar 31, 1984"
Peggy Morgan,"6' 1""",135 lbs.,"71.0"" (180cm)",,"Dec 16, 1979"
Brad Morris,"6' 2""",205 lbs.,"74.0"" (188cm)",Orthodox,"Nov 01, 1979"
Quinn Mulhern,"6' 3""",155 lbs.,"76.0"" (193cm)",Orthodox,"Sep 20, 1984"
Rin Nakai,"5' 1""",135 lbs.,"60.5"" (154cm)",Orthodox,"Oct 22, 1986"
Yui Chul Nam,"5' 9""",145 lbs.,"69.5"" (177cm)",Orthodox,"Jul 16, 1981"
Roger Narvaez,"6' 3""",185 lbs.,"79.5"" (202cm)",Southpaw,"Sep 09, 1983"
Dustin Neace,"5' 9""",145 lbs.,"69.0"" (175cm)",,"Sep 12, 1986"
Mike Nickels,"6' 4""",205 lbs.,,Orthodox,"Dec 13, 1971"
Mats Nilsson,"6' 1""",170 lbs.,"74.5"" (189cm)",Orthodox,"Dec 05, 1983"
Pedro Nobre,"5' 5""",135 lbs.,"66.5"" (169cm)",,"Feb 13, 1986"
Jason Novelli,"6' 0""",155 lbs.,"75.5"" (192cm)",Orthodox,"Jun 08, 1979"
TJ O'Brien,"6' 2""",155 lbs.,"77.0"" (196cm)",Orthodox,"Jan 01, 1987"
Chuck O'Neil,"6' 2""",170 lbs.,"76.0"" (193cm)",,"Sep 22, 1985"
Ednaldo Oliveira,"6' 5""",205 lbs.,"81.5"" (207cm)",Orthodox,"Feb 19, 1984"
Wendell Oliveira Marques,"5' 10""",170 lbs.,"72.0"" (183cm)",Orthodox,"Jun 01, 1983"
Felipe Olivieri,"5' 9""",155 lbs.,"72.0"" (183cm)",Orthodox,"Apr 12, 1985"
Alan Omer,"5' 10""",145 lbs.,"71.0"" (180cm)",Orthodox,"Sep 14, 1988"
Nissen Osterneck,"6' 2""",185 lbs.,,Orthodox,"May 01, 1981"
Larissa Pacheco,"5' 7""",135 lbs.,"69.0"" (175cm)",Orthodox,"Sep 07, 1994"
Michael Patt,"6' 0""",205 lbs.,,Orthodox,"May 31, 1975"
Julio Paulino,"6' 0""",170 lbs.,,Orthodox,"Dec 04, 1975"
Estevan Payan,"5' 10""",145 lbs.,"72.0"" (183cm)",Orthodox,"Mar 14, 1982"
Filip Pejic,"5' 8""",135 lbs.,"70.0"" (178cm)",Orthodox,"Jul 21, 1992"
Nick Penner,"6' 4""",205 lbs.,"77.0"" (196cm)",Southpaw,"Mar 26, 1980"
Thiago Perpetuo,"5' 10""",170 lbs.,"73.0"" (185cm)",Orthodox,"Dec 14, 1987"
Hernani Perpetuo,"6' 0""",170 lbs.,"74.0"" (188cm)",Orthodox,"May 24, 1985"
Jesus Pinedo,"5' 10""",155 lbs.,"74.0"" (188cm)",Southpaw,"Jun 22, 1996"
Ross Pointon,"5' 8""",170 lbs.,,Orthodox,"Feb 18, 1980"
John Polakowski,"5' 10""",155 lbs.,,Orthodox,"Jun 21, 1981"
Dorian Price,"6' 3""",170 lbs.,,Southpaw,"Aug 20, 1977"
Chris Price,"6' 2""",185 lbs.,,Southpaw,"Nov 09, 1982"
Shane Primm,"6' 3""",205 lbs.,,Orthodox,"Jul 30, 1984"
Juan Manuel Puig,"5' 9""",145 lbs.,"72.0"" (183cm)",Orthodox,"Apr 23, 1989"
Vinicius Queiroz,"6' 7""",220 lbs.,"79.5"" (202cm)",,"Aug 29, 1983"
Jimmy Quinlan,"6' 0""",185 lbs.,"72.0"" (183cm)",Orthodox,"May 25, 1986"
Jordan Radev,"5' 7""",185 lbs.,,Southpaw,"Sep 28, 1976"
Jessica Rakoczy,"5' 7""",115 lbs.,"68.0"" (173cm)",Orthodox,"Apr 14, 1977"
Hector Ramirez,"6' 0""",205 lbs.,"73.0"" (185cm)",Orthodox,"Mar 28, 1976"
Luis Ramos,"5' 8""",170 lbs.,,Orthodox,"Jan 18, 1981"
Vernon Ramos Ho,"5' 6""",170 lbs.,"66.9"" (170cm)",Orthodox,"Jun 03, 1992"
Paul Redmond,"5' 10""",145 lbs.,"70.5"" (179cm)",Orthodox,"Oct 20, 1986"
Johnny Rees,"6' 0""",170 lbs.,"74.0"" (188cm)",Orthodox,"Oct 21, 1982"
Chad Reiner,"5' 11""",170 lbs.,,Orthodox,"Jun 29, 1981"
Jason Reinhardt,"5' 6""",135 lbs.,"64.0"" (163cm)",Orthodox,"Oct 31, 1969"
Alex Ricci,"5' 11""",155 lbs.,"69.0"" (175cm)",Orthodox,"Jul 21, 1982"
Dante Rivera,"6' 1""",185 lbs.,"68.0"" (173cm)",Southpaw,"Dec 08, 1974"
Ryan Roberts,"5' 6""",155 lbs.,"65.0"" (165cm)",Orthodox,"Jul 16, 1978"
Buddy Roberts,"6' 2""",185 lbs.,"76.0"" (193cm)",Orthodox,"Oct 17, 1982"
Colin Robinson,"6' 4""",243 lbs.,,Orthodox,"Nov 27, 1968"
Bruno Rodrigues,"5' 6""",135 lbs.,,,"Jun 28, 1991"
Manuel Rodriguez,"5' 9""",170 lbs.,"74.0"" (188cm)",Orthodox,"Apr 25, 1985"
Nick Roehrick,"6' 2""",205 lbs.,"75.5"" (192cm)",Orthodox,"Jul 06, 1987"
Jared Rollins,"5' 9""",170 lbs.,,Orthodox,"Jan 26, 1977"
Jake Rosholt,"6' 1""",185 lbs.,"74.0"" (188cm)",Orthodox,"Feb 09, 1982"
Rodolfo Rubio Perez,"5' 5""",145 lbs.,"66.0"" (168cm)",Orthodox,"Jan 29, 1987"
Gabe Ruediger,"5' 10""",155 lbs.,"70.0"" (178cm)",Orthodox,"Aug 29, 1977"
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,"Jan 11, 1971"
Roman Salazar,"5' 7""",135 lbs.,"67.5"" (171cm)",Orthodox,"Feb 21, 1988"
Sean Salmon,"5' 10""",185 lbs.,,Southpaw,"Sep 11, 1977"
Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,"May 22, 1980"
Joseph Sandoval,"5' 7""",135 lbs.,"66.0"" (168cm)",Southpaw,"May 11, 1986"
Roldan Sangcha'an,"5' 4""",125 lbs.,"65.0"" (165cm)",Orthodox,"Dec 04, 1990"
Bruno Santos,"5' 9""",185 lbs.,"72.0"" (183cm)",Orthodox,"Jul 17, 1987"
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,"Apr 23, 1982"
Takenori Sato,"5' 10""",170 lbs.,"71.0"" (180cm)",Southpaw,"Jun 08, 1985"
Chris Saunders,"5' 8""",155 lbs.,"69.0"" (175cm)",,"Mar 11, 1986"
Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,"Jul 28, 1980"
Samy Schiavo,"5' 8""",155 lbs.,,Orthodox,"Dec 24, 1975"
Pat Schilling,"5' 8""",145 lbs.,"70.0"" (178cm)",Orthodox,"Aug 28, 1988"
Darrill Schoonover,"6' 2""",220 lbs.,"82.0"" (208cm)",Orthodox,"Jul 18, 1985"
Matthew Semelsberger,"6' 1""",170 lbs.,"75.0"" (191cm)",,"Nov 23, 1992"
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,"Sep 21, 1971"
Rosi Sexton,"5' 3""",135 lbs.,"64.0"" (163cm)",Orthodox,"Jul 16, 1977"
Shunichi Shimizu,"5' 5""",135 lbs.,"66.0"" (168cm)",Orthodox,"Jan 31, 1985"
Josh Shockley,"6' 1""",155 lbs.,"74.5"" (189cm)",Orthodox,"Nov 15, 1989"
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,"Jun 18, 1974"
Jay Silva,"6' 2""",185 lbs.,"75.0"" (191cm)",Southpaw,"May 25, 1981"
Wagner Silva,"6' 0""",170 lbs.,"71.5"" (182cm)",Orthodox,"Feb 07, 1987"
