fighter_name,Affiliation,Born,Fighting out of,Reach,Date of Birth
Sirwan Kakai,American Top Team,Sweden,"Gothenburg, Sweden","67.5"" (171cm)",1900-20-30
David Kaplan,N/A,United States,"Las Vegas, Nevada",N/A,1900-20-30
Yusuke Kasuya,Akimoto Dojo jungle junction,Japan,"Sagamihara, Kanagawa, Japan","67.0"" (170cm)",1900-20-30
Julie Kedzie,Jackson Wink MMA,"Bloomington, Indiana, United States","Albuquerque, New Mexico","64.5"" (164cm)",1900-20-30
CJ Keith,Pro Buhawe,United States,"Porterville, California","73.0"" (185cm)",1900-20-30
Steve Kennedy,Fitness N Fight Centre,Australia,"Northbridge, Western Australia","71.0"" (180cm)",1900-20-30
Mike King,Pitch Black MMA,"Dresden, Ohio","Naples, Florida","75.0"" (191cm)",1900-20-30
John Kolosci,Gilbert Grappling,United States,"Portage, Indiana","72.0"" (183cm)",1900-20-30
Pascal Krauss,Roufusport MMA Academy,"Breisach, Germany","Milwaukee, Wisconsin","72.0"" (183cm)",1900-20-30
Leo Kuntz,American Top Team,"Linton, North Dakota, United States","Coconut Creek, Florida","74.0"" (188cm)",1900-20-30
Tina Lahdemaki,Grappling Team Pori,Finland,"Pori, Finland","62.0"" (157cm)",1900-20-30
Anthony Lapsley,Team Deadly Jiu-Jitsu,United States,"Fort Wayne, Indiana","72.5"" (184cm)",1900-20-30
Dan Lauzon,Lauzon Mixed Martial Arts,"Brockton, Massachusetts, United States","Bridgewater, Massachusetts","72.0"" (183cm)",1900-20-30
James Lee,Mash Fight Team,United States,"Sylvin Lake, Michigan, USA",N/A,1900-20-30
David Lee,Team Crossface,"London, England","London, England",N/A,1900-20-30
Rocky Lee,Taiwan BJJ Academy,Taiwan,"Taipei, Taiwan","68.0"" (173cm)",1900-20-30
Frank Lester,Team Quest,Germany,"Temecula, California",N/A,1900-20-30
Jess Liaudin,Pancrase London,France,France,N/A,1900-20-30
Jake Lindsey,Combative Sports Center,"Manhattan, Kansas","Manhattan, Kansas","72.5"" (184cm)",1900-20-30
Lucio Linhares,Alliance Jiu-Jitsu,Brazil,"Ipatinga, Minas Gerais, Brazil",N/A,1900-20-30
Abner Lloveras,HM Fitness Centre,"Barcelona, Spain","Dubai, Arab Emirates","72.0"" (183cm)",1900-20-30
Dileno Lopes,Nova União Manaus,Brazil,"Manaus, Amazonas, Brazil","65.5"" (166cm)",1900-20-30
Steve Lopez,Xtreme Couture,"South Bend, Indiana, United States","Las Vegas, Nevada",N/A,1900-20-30
Jorge Lopez,Wand Fight Team,"San Diego, California, United States","Las Vegas, Nevada","72.0"" (183cm)",1900-20-30
Nate Loughran,Nor-Cal Fighting Alliance,"Rohnert Park, California, United States","Santa Rosa, California",N/A,1900-20-30
Ian Loveland,Team Quest Portland,"Gresham, Oregon, United States","Portland, Oregon",N/A,1900-20-30
Waylon Lowe,Joe Hand's Boxing,"Jefferson City, Tennessee, United States","Philadelphia, Pennsylvania","65.0"" (165cm)",1900-20-30
Matt Lucas,Arizona Combat Sports,"Indianapolis, Indiana, United States","Mesa, Arizona","73.0"" (185cm)",1900-20-30
Mike Lullo,Midwest Training Center,"Elmhurst, Illinois, United States","Schaumburg, Illinois","70.0"" (178cm)",1900-20-30
Stevie Lynch,N/A,United Kingdom,"Antrim, Northern Ireland",N/A,1900-20-30
War Machine,N/A,United States,"Las Vegas, Nevada","70.0"" (178cm)",1900-20-30
Ryan Madigan,N/A,United States,"Cuyahoga Falls, Ohio",N/A,1900-20-30
Bernardo Magalhaes,TP Fight Team,"Rio de Janeiro, Brazil","Sydney, Australia","68.0"" (173cm)",1900-20-30
Nazareno Malegarie,Ataque Duplo / Team Tavares,"Buenos Aires, Argentina","Florianopolis, Santa Catarina, Brazil","70.0"" (178cm)",1900-20-30
Troy Mandaloniz,Penn Fitness & Training Center,United States,"Hilo, Hawaii",N/A,1900-20-30
Jon Manley,Jon Manley MMA,"Adams, Massachusetts, United States","Ludlow, Massachusetts","74.0"" (188cm)",1900-20-30
Jose Maria,Team Nogueira,"Alto Santo, Ceara, Brazil","Limoeiro do Norte, Ceara, Brazil","65.0"" (165cm)",1900-20-30
Enrique Marin,Sutemi Academy,"Seville, Andalusia, Spain","Seville, Andalusia, Spain","75.0"" (191cm)",1900-20-30
Tateki Matsuda,Sityodtong Boston,"Tokyo, Japan","Boston, Massachusetts","65.5"" (166cm)",1900-20-30
Jack May,N/A,United States,"Whittier, California","78.0"" (198cm)",1900-20-30
Michael McBride,Des Moines Jiu Jitsu Academy,United States,"Webster City, Iowa","75.0"" (191cm)",1900-20-30
Ryan McGillivray,Legends Training Centre,"Edmonton, Alberta, Canada","Edmonton, Alberta","73.0"" (185cm)",1900-20-30
Antonio McKee,Team Bodyshop MMA,"Las Vegas, Nevada, United States","Long Beach, California","72.0"" (183cm)",1900-20-30
Anistavio Medeiros,N/A,Brazil,"Natal, Brazil","70.0"" (178cm)",1900-20-30
Brian Melancon,Paradigm Training Center,United States,"Houston, Texas","70.0"" (178cm)",1900-20-30
Brandon Melendez,Jeremy Horn's Elite Performance,United States,"Bountiful, Utah",N/A,1900-20-30
Eddie Mendez,N/A,"Sun Valley, California","Sun Valley, California","77.0"" (196cm)",1900-20-30
Joe Merritt,Millennia MMA,United States,California,"73.0"" (185cm)",1900-20-30
Jonathan Meunier,Tristar Quebec,"Quebec City, Quebec, Canada","Quebec City, Quebec","75.0"" (191cm)",1900-20-30
David Michaud,Next Edge Academy of Martial Arts,"Pine Ridge, South Dakota, United States","Sioux Falls, South Dakota","71.5"" (182cm)",1900-20-30
Billy Miles,Capital City Fighting Alliance,United States,"Lincoln, California, USA",N/A,1900-20-30
Jason Miller,Reign MMA,"Atlanta, Georgia, United States","Orange County, California","72.0"" (183cm)",1900-20-30
Dokonjonosuke Mishima,Cobra Kai MMA Dojo,"Amagasaki, Japan","Osaka, Japan",N/A,1900-20-30
Danny Mitchell,Asylum Vale Tudo,England,"Doncaster, Yorkshire, England","74.5"" (189cm)",1900-20-30
Roman Mitichyan,N/A,Armenia,Armenia,N/A,1900-20-30
Eiji Mitsuoka,Freelance,Japan,"Tokyo, Japan","68.0"" (173cm)",1900-20-30
Steve Montgomery,American Top Team,"Florence, South Carolina, United States","Boca Raton, Florida","76.0"" (193cm)",1900-20-30
Leonardo Morales,Xtreme Kombat Academy,"Managua, Nicaragua","Managua, Nicaragua","68.0"" (173cm)",1900-20-30
Richardson Moreira,Team Nogueira,Brazil,"Campinas, Sao Paulo, Brazil","72.0"" (183cm)",1900-20-30
Peggy Morgan,Triumph Brazilian Jiu Jitsu,United States,"Manchester, New Hampshire","71.0"" (180cm)",1900-20-30
Brad Morris,N/A,Australia,"Sydney, Australia","74.0"" (188cm)",1900-20-30
Quinn Mulhern,Santa Fe Brazilian Jiu-Jitsu,"Santa Cruz, California, United States","Santa Fe, New Mexico","76.0"" (193cm)",1900-20-30
Rin Nakai,Pancrase Venus,"Ehime, Japan",Japan,"60.5"" (154cm)",1900-20-30
Yui Chul Nam,Freelance,South Korea,South Korea,"69.5"" (177cm)",1900-20-30
Roger Narvaez,Full Contact Fight Academy,United States,"Corpus Christi, Texas","79.5"" (202cm)",1900-20-30
Dustin Neace,Team Alpha Male,"Franklin, Indiana, United States","Sacramento, California","69.0"" (175cm)",1900-20-30
Mike Nickels,Colorado BJJ,United States,"Denver, Colorado",N/A,1900-20-30
Mats Nilsson,Kaisho Martial Arts,"Helsingborg, Sweden","Copenhagen, Denmark","74.5"" (189cm)",1900-20-30
Pedro Nobre,Brazilian Top Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","66.5"" (169cm)",1900-20-30
Jason Novelli,Rose City FC,"Anchorage, Alaska","Vancouver, Washington","75.5"" (192cm)",1900-20-30
TJ O'Brien,Roundkick Gym,"Sacramento, California, United States","Des Moines, Iowa","77.0"" (196cm)",1900-20-30
Chuck O'Neil,Mass BJJ Acton,"Falmouth, Massachusetts, United States","East Bridgewater, Massachusetts","76.0"" (193cm)",1900-20-30
Ednaldo Oliveira,Academia Champion,"Bahia, Brazil","Salvador, Bahia, Brazil","81.5"" (207cm)",1900-20-30
Wendell Oliveira Marques,War Machine CT,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil","72.0"" (183cm)",1900-20-30
Felipe Olivieri,Nova União,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil","72.0"" (183cm)",1900-20-30
Alan Omer,Stallion Cage,"Arbil, Iraq","Stuttgart, Germany","71.0"" (180cm)",1900-20-30
Nissen Osterneck,N/A,United States,United States,N/A,1900-20-30
Larissa Pacheco,Bulldog / Formiga Team,Brazil,"Belem, Para, Brazil","69.0"" (175cm)",1900-20-30
Michael Patt,Meat Truck Inc.,United States,"Dayton, Ohio",N/A,1900-20-30
Julio Paulino,N/A,"Jersey City, New Jersey, United States","Jersey City, New Jersey",N/A,1900-20-30
Estevan Payan,Arizona Combat Sports,United States,"Glendale, Arizona","72.0"" (183cm)",1900-20-30
Filip Pejic,American Top Team Zagreb,Croatia,"Zagreb, Croatia","70.0"" (178cm)",1900-20-30
Nick Penner,Team Threat,"Blumenort, Manitoba, Canada","Blumenort, Manitoba","77.0"" (196cm)",1900-20-30
Thiago Perpetuo,Furacão Fight Team,"Santo Andre, Sao Paulo, Brazil","Santo Andre, Sao Paulo, Brazil","73.0"" (185cm)",1900-20-30
Hernani Perpetuo,Nova União,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","74.0"" (188cm)",1900-20-30
Jesus Pinedo,Pitbull Martial Arts Center,Peru,"Lima, Peru","74.0"" (188cm)",1900-20-30
Ross Pointon,N/A,United Kingdom,England,N/A,1900-20-30
John Polakowski,The Pit,United States,"San Luis Obsipo, California, USA",N/A,1900-20-30
Dorian Price,JG MMA Academy,United States,"Columbus, Ohio, USA",N/A,1900-20-30
Chris Price,Manchester Predators,England,"Blackburn with Darwen, England",N/A,1900-20-30
Shane Primm,N/A,Germany,"Tampa, Florida",N/A,1900-20-30
Juan Manuel Puig,Bonebreakers MMA,"Mexico City, Mexico","Mexico City, Mexico","72.0"" (183cm)",1900-20-30
Vinicius Queiroz,Team Nogueira,"Curitiba, Parana, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil","79.5"" (202cm)",1900-20-30
Jimmy Quinlan,Mass BJJ Acton,United States,"Methuen, Massachusetts","72.0"" (183cm)",1900-20-30
Jordan Radev,Sportcentrum KOPS,"Pomorie, Bulgaria","New York City, New York",N/A,1900-20-30
Jessica Rakoczy,N/A,"Hamilton, Ontario, Canada","Hamilton, Ontario","68.0"" (173cm)",1900-20-30
Hector Ramirez,N/A,United States,"Norwalk, California","73.0"" (185cm)",1900-20-30
Luis Ramos,Gladiator BJJ,United States,"Springfield, Massachusetts",N/A,1900-20-30
Vernon Ramos Ho,Kame House,Panama,Panama,"66.9"" (170cm)",1900-20-30
Paul Redmond,Team Ryano MMA,"Dublin, Ireland","Dublin, Leinster, Ireland","70.5"" (179cm)",1900-20-30
Johnny Rees,N/A,United States,"Indianapolis, Indiana","74.0"" (188cm)",1900-20-30
Chad Reiner,Fightlab,United States,"Omaha, Nebraska",N/A,1900-20-30
Jason Reinhardt,Wand Fight Team,"Decatur, Illinois, United States","Las Vegas, Nevada","64.0"" (163cm)",1900-20-30
Alex Ricci,M1 Thai Boxing,"Toronto, Ontario, Canada","Woodbridge, Ontario","69.0"" (175cm)",1900-20-30
Dante Rivera,Renzo Gracie Denville,United States,"Hamilton, New Jersey","68.0"" (173cm)",1900-20-30
Ryan Roberts,Disorderly Conduct,United States,"Omaha, Nebraska","65.0"" (165cm)",1900-20-30
Buddy Roberts,Jackson Wink MMA,"Fort Worth, Texas, United States","Albuquerque, New Mexico","76.0"" (193cm)",1900-20-30
Colin Robinson,Next Generation I.M.M.A,United Kingdom,"Ballymena, Northern Ireland",N/A,1900-20-30
