fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",Lobo Gym MMA,"Culiacan, Sinaloa, Mexico","Guadalajara, Jalisco, Mexico"
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",,Mexico,"Mexicali, BC, Mexico"
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",Nova União,"Manaus, Amazonas, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",Freedom Fighters,"Denver, Colorado","Denver, Colorado"
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",,United States,"Pembroke Pines, Florida"
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",Xtreme Couture,"Vancouver, British Columbia, Canada","Las Vegas, Nevada"
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",Team Doyle,"East St. Louis, Illinois, United States","Omaha, Nebraska"
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",Astra Fight Team,Brazil,Brazil
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",Algeo MMA and Kickboxing,United States,"King of Prussia, Pennsylvania"
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",Champion,Russia,"Derbent, Russia"
John Allan,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",Chute Boxe Monstro,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil"
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",BKK Fighters ,"Suffolk, England","Felixstowe, England"
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",Roufusport MMA Academy,United States,"Slidell, Louisiana"
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",Gold Coast,Australia,"Gold Coast, Queensland, Australia"
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",Renzo Gracie Academy,"New York City, New York, United States","Hamilton, New Jersey"
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",Chute Boxe Diego Lima,"Sao Paulo, Sao Paulo, Brazil","Houston, Texas"
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",American Elite MMA,United States,"Amarillo, Texas"
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",,Jordan,Jordan
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",Blackzilians,"Kensington, Pennsylvania, United States","Boca Raton, Florida"
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",,"Gijón, Asturias, Spain","Gijón, Asturias, Spain"
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",American Top Team,"Fortaleza, Ceara, Brazil","Coconut Creek, Florida"
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",XGym,"Governador Valadares, Minas Gerais, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",Team Quest,United States,"Manitowoc, Wisconsin"
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",Jackson-Wink mma,"Gronzy, Russia","Gronzy, Russia"
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",,Macedonia,Italy
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",Straight Blast Gym Ireland,Iraq,Finland
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",Spartan Fitness MMA,"San Antonio, Texas","Birmingham, Alabama"
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",Kennel Fight Club,"Rockton, Illinois, United States","Rockton, Illinois"
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",Glory MMA and Fitness,"Gold Coast, Queensland, Australia","Kansas City, Missouri"
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",Paraná Vale Tudo,"Umuarama, Parana, Brazil","Parana, Brazil"
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",Gracie Fusion,"Jales, Sao Paulo, Brazil","Jales, Sao Paulo, Brazil"
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",Potential Unlimited Mixed Martial Arts,Australia,"Gold Coast, Queensland, Australia"
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",Gorets FT,Russia,"Makhachkala, Russia"
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",American Top Team,"Weston, Florida","Fort Lauderdale, Florida"
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",American Top Team,Dagestan Russia,Dagestan Russia
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",Team Climb,"Saitama, Japan","Toshima, Tokyo, Japan"
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",Chute Boxe Diego Lima,"Sao Paulo, Brazil","Newark, New Jersey"
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",Jackson Wink MMA,"Patos de Minas, Minas Gerais, Brazil","Albuquerque, New Mexico"
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",Cerrado MMA,Brazil,"Brasilia, Federal District, Brazil"
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",Tiger Schulmann's Mixed Martial Arts,New York,New Jersey
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",American Top Team,Belarus,"Chicago, Illinois"
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",Sikjitsu,United States,Washington
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",Entram Gym,"Tijuana, Mexico","Chula Vista, California"
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",Gracie Tampa South,"New York, USA","New York, USA"
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",Marajó Brothers Team,Brazil,"Soure, Para, Brazil"
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",Berkut FC,Russia,"Khasavyurt, Russia"
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",Bushido Academie,"Sorgues, France","Nimes, France"
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",,England,"Doncaster, South Yorkshire"
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",Roufusport MMA Academy,"Cedar Rapids, Iowa","Phoenix, Arizona"
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",Team Kaobon Liverpool,England,England
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",Ascension Mixed Martial Arts,"Recife, Pernambuco, Brazil","Atlanta, Georgia"
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",Ascension Mixed Martial Arts,"Recife, Pernambuco, Brazil","Alpharetta, Georgia"
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",American Top Team,"Elizabeth, New Jersey, United States","Coconut Creek, Florida"
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",H2O MMA,"Montreal, Quebec, Canada","Montreal, Quebec"
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",,"Fortaleza, Brazil",Florida
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",Oklahoma martial arts academy,United States,"Oklahoma City, Oklahoma"
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",Hammers Team,Germany,"Nuremberg, Germany"
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",Combat Club Cologne,Germany,"Cologne, Germany"
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",Jupps Fight Team,"Cologne, Germany",Germany
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",MMA Lab,United States,"Phoenix, Arizona"
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",Power MMA,"Kawaii, Hawaii, United States","Apache Junction, Arizona"
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",Power MMA,"Reno, Nevada, United States","Tempe, Arizona"
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",MMA Masters,United States,"Florida, United States"
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",Fight Nights Team,Dagestan Russia,Dagestan Russia
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",Jackson Wink MMA,"Kabul, Afghanistan","Deventer, Netherlands"
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",Integrated Fighting Academy,"Chicago, Illinois, United States","Indianapolis, Indiana"
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",Chute Boxe Long Beach,"Lagos, Nigeria","New York, New York"
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",Team Oyama,"Lima, Peru","Lima, Peru"
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",Korean Top Team,"Seoul, South Korea","Seoul, South Korea"
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",The Pit,"Tulare, California, United States","San Luis Obispo, California"
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",Nova União,"Natal, Rio Grande do Norte, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",Fort Collins MMA,United States,"Milwaukee, Wisconsin"
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",MMA Lab,"Montclair, California","Glendale, Arizona"
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",American Top Team,"Nova Friburgo, Rio de Janeiro, Brazil","Jupiter, Florida"
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",Rizzo RVT,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",Tsunami Gym,England,"Cambridge, Cambridgeshire, England"
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",UWF USA,"Seattle, Washington, United States","Seattle, Washington"
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",American Kickboxing Academy,"Long Island, New York, United States","Las Vegas, Nevada"
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",Sityodtong Boston,United States,"Plymouth, Massachusetts"
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",Patenaude Kung Fu - Quebec City,"Gatineau, Quebec, Canada","Quebec City, Quebec"
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",Nova União,"Xapuri, Acre, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",Roufusport MMA Academy,"New Orleans East, Louisiana, United States","Milwaukee, Wisconsin"
Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",American Kickboxing Academy,"Lima, Peru","Lima, Peru"
Danaa Batgerel,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",Jackson Wink MMA,"Erdenetsagaan, Mongolia","Albuquerque, New Mexico"
Mario Bautista,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",MMA Lab,United States,"Glendale, Arizona"
Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",Knuckleheadz Boxing,"Brooklyn, United States","Ventura, California"
Ariel Beck,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990",,United States,"Helena, Montana"
Johnny Bedford,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",Fitness Fight Factory,"Woodville, Ohio, United States","Colleyville, Texas"
Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",Tristar Gym,"Srebrenica, Bosnia and Herzegovina","Coconut Creek, Florida"
Diana Belbita,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",House of Champions MMA,"Strehaia, Romania","Stoney Creek, Ontario, Canada"
Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984","American Top Team D’Iberville, MS","Jonesboro, Arkansas, United States","Biloxi, Mississippi"
Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",Independent,"Rio de Janeiro, Rio de Janeiro, Brazil","Boca Raton, Florida"
Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",Aurora Mixed Martial Arts,"Palermo, Italy","Milan, Italy"
Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",Alliance MMA,"San Diego, California, United States","Carlsbad, California"
Marco Beltran,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",Top Brother Mexico,"Mexico City, Mexico","Michoacán, Mexico"
Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",Team Alpha Male,"San Antonio, Texas, United States","Sacramento, California"
Gabriel Benitez,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",American Kickboxing Academy,Mexico,"Tijuana, Baja California, Mexico"
DeAnna Bennett,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",Killer B Combat Sports,"Utah, USA","Utah, USA"
Lance Benoist,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988",St Charles MMA,"St. Louis, Missouri, United States","St. Louis, Missouri"
Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",Saekson Janjira Muay Thai,United States,"Dallas, Texas"
Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",Long Island MMA,"Saugerties, New York, United States","Lindenhurst, New York"
Manny Bermudez,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",South Shore Sportsfighting,USA,USA
Talita Bernardo,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",IFTeam,"Barra de São João, Rio de Janeiro, Brazil","Barra de São João, Rio de Janeiro, Brazil"
Matt Bessette,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",Underdog Mixed Martial Arts,"Hartford, Connecticut, United States","Hartford, Connecticut"
Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",Ryan's MMA - Checkmat Vancouver,Canada,"Richmond, British Columbia"
Magomed Bibulatov,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",Berkut FC,Russia,"Grozny, Russia"
David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",Brazilian Top Team,Sweden,"Stockholm, Sweden"
Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",10th Planet Jiu Jitsu Tucson,"Tucson, Arizona, United States","Tucson, Arizona"
Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",RVCA,"Nicosia, Cyprus","Anaheim, California"
Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",WCA Fight Team,"Cieszyn, Poland","Warsaw, Poland"
Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",Victory Athletics,"Los Angeles, California, United States","Seattle, Washington"
Maximo Blanco,"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",Jackson Wink MMA,"Coro, Falcon, Venezuela","Tokyo, Japan"
Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",Elevation Fight Team,"Naperville, Illinois","Chicago, Illinois"
Mark Bocek,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",Tristar Gym,"Toronto, Ontario, Canada","Woodbridge, Ontario"
Kyle Bochniak,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987",Broadway Jiu Jitsu,"Gloucester, Massachusetts, United States","Boston, Massachusetts"
James Bochnovic,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",,United States,"Kenosha, Wisconsin"
Tim Boetsch,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",Barbarian Combat Sports,"Lincolnville, Maine, United States","Sunbury, Pennsylvania"
Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",,England,England
Roman Bogatov,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",Fighter Gym,Russia,"Orenburg, Russia"
Stephan Bonnar,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",Xtreme Couture,"Munster, Indiana, United States","Las Vegas, Nevada"
Rogerio Bontorin,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",Gile Ribeiro Team,"Adrianopolis, Parana, Brazil","Colombo, Parana, Brazil"
Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Tanner Boser,"6' 2""",255 lbs.,"75""",Orthodox,"Aug 02, 1991",,"Bonnyville, Alberta, Canada","Bonnyville, Alberta"
Steve Bosse,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",Tristar Gym,"Saint-Jean-sur-Richelieu, Quebec, Canada","Montreal, Quebec"
Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",Nova União,"Muriae, Minas Gerais, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",Hardcore Gym,"Charleston, West Virginia, United States","Athens, Georgia"
Roger Bowling,"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",Team Vision MMA,"Neville, Ohio, United States","Cincinnati, Ohio"
Kyle Bradley,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",Team Voodoo,United States,"Denham Springs, Louisiana"
Sean Brady,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",Renzo Gracie Philly,United States,"Philadelphia, Pennsylvania"
David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",Renzo Gracie Academy,"New York, USA","New York, USA"
Diego Brandao,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987",Jackson Wink MMA,"Fortaleza, Ceara, Brazil","Albuquerque, New Mexico"
Martin Bravo,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",Entram Gym,Mexico,"Rosarito Beach, Baja California, Mexico"
Tom Breese,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",,England,"Birmingham, England"
Charlie Brenneman,"5' 10""",155 lbs.,"70""",Orthodox,"Feb 09, 1981",AMA Fight Club,"Hollidaysburg, Pennsylvania, United States","Whippany, New Jersey"
Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",Elite Performance MMA,"Bismarck, North Dakota, United States","Omaha, Nebraska"
Marcus Brimage,"5' 4""",135 lbs.,"71""",Southpaw,"Apr 06, 1985",American Top Team,"Colorado Springs, Colorado, United States","Coconut Creek, Florida"
Henry Briones,"5' 8""",135 lbs.,"69""",Orthodox,"Oct 22, 1980",Entram Gym,"Tijuana, Baja California, Mexico","San Diego, California"
Jonathan Brookins,"6' 0""",145 lbs.,"74""",Southpaw,"Aug 13, 1985",Gracie Barra Orlando,"Portland, Oregon, United States","Orlando, Florida"
Will Brooks,"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",American Top Team,"Chicago, Illinois, United States","Schaumburg, Illinois"
Jarred Brooks,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",Mash Fight Team,"Warsaw, Indiana, United States","Detroit, Michigan"
Rob Broughton,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",Wolfslair MMA Academy,"St Helens, Merseyside, England","Liverpool, England"
Matt Brown,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",Immortal Martial Arts Center,"Xenia, Ohio, United States","Cincinnati, Ohio"
Mike Brown,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",American Top Team,"Portland, Maine, United States","Coconut Creek, Florida"
Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",Budokan Martial Arts Academy,Massachusetts,"Queens, New York"
Damien Brown,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",Integrated MMA,Australia,"Brisbane, Queensland"
TJ Brown,"5' 9""",145 lbs.,"72""",Switch,"May 22, 1990",Westside Fight Team,United States,"Little Rock, Arkansas"
Travis Browne,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",Hayastan MMA,"Honolulu, Hawaii, United States","Albuquerque, New Mexico"
Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",Brunsons MMA and Fitness,"Wilmington, North Carolina, United States","Albuquerque, New Mexico"
Justin Buchholz,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",Team Alpha Male,United States,"Sacramento, California"
Joaquin Buckley,"5' 10""",185 lbs.,"76""",Southpaw,"Apr 27, 1994",Finney's HIT Squad,"St. Louis, Missouri","St. Louis, Missouri"
Mayra Bueno Silva,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",Chute Boxe Diego Lima,"Uberlandia, Minas Gerais, Brazil","Sao Paulo, Sao Paulo, Brazil"
Paul Buentello,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",Bastos BJJ Midland,"Amarillo, Texas, United States","Denver, Colorado"
Modestas Bukauskas,"6' 3""",205 lbs.,"78""",Switch,"Feb 10, 1994",Gintas Combat,"Klaipeda, Lithuania","Denham, Buckinghamshire, England"
Wuliji Buren,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989",,China,China
Shane Burgos,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",Tiger Schulmann's Mixed Martial Arts,"Bronx, New York","Monroe, New York"
Joshua Burkman,"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980",The Pit Elevated Fight Team,"Utah, USA","Utah, USA"
Mads Burnell,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994",Arte Suave,Denmark,Denmark
Kevin Burns,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",Des Moines Jiu Jitsu Academy,United States,"Des Moines, Iowa, United States"
Gilbert Burns,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",Sanford MMA,"Niteroi, Rio de Janeiro, Brazil","Boca Raton, Florida"
Herbert Burns,"5' 9""",145 lbs.,"73""",Orthodox,"Feb 02, 1988",,Brazil,Singapore
Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",Fortis MMA,"Oceanside, California","Arlington, Texas"
Yan Cabral,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",Nova União,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
