fighter_name,Height,Weight,Reach,Stance,DOB,fighter_name
66,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",Arnold Allen
67,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",Brendan Allen
68,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",Ben Alloway
69,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",Ricardo Almeida
70,"6' 0""",155 lbs.,,,"Jun 06, 1985",Magno Almeida
71,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 31, 1991",Thomas Almeida
72,"5' 6""",115 lbs.,,Orthodox,"Mar 05, 1989",Ericka Almeida
73,"5' 4""",125 lbs.,,Orthodox,"Oct 17, 1988",Estefani Almeida
74,"6' 2""",170 lbs.,,,"Feb 27, 1980",Mauricio Alonso
75,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",Sarah Alpar
76,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",Ali AlQaisi
77,"5' 10""",170 lbs.,,,,Rico Altamirano
78,"5' 10""",185 lbs.,,Orthodox,,Mike Altman
79,"6' 0""",235 lbs.,,Orthodox,"Jul 14, 1971",Sean Alvarez
80,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",Eddie Alvarez
81,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",Jaime Alvarez
82,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",Joel Alvarez
83,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",Thiago Alves
84,,,,,,Anthony Alves
85,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988",Amilcar Alves
86,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",Warlley Alves
87,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 11, 1990",Rafael Alves
88,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",Sam Alvey
89,"6' 0""",154 lbs.,,Orthodox,,Andre Amado
90,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",Adlan Amagov
91,"5' 5""",115 lbs.,,Southpaw,"Jul 11, 1987",Maiara Amanajas dos Santos
92,,185 lbs.,,,,Chris Amarante
93,"6' 2""",315 lbs.,,Southpaw,"Jan 26, 1970",Jimmy Ambriz
94,"5' 10""",170 lbs.,,Orthodox,,JJ Ambrose
95,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",Alen Amedovski
96,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",Makwan Amirkhani
97,"5' 8""",190 lbs.,,Orthodox,,Bertrand Amoussou
98,"5' 11""",185 lbs.,,Orthodox,"Nov 21, 1985",Karl Amoussou
99,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",Eryk Anders
100,"6' 2""",230 lbs.,,Southpaw,"May 29, 1971",Matt Andersen
101,"5' 6""",240 lbs.,,,"Jul 16, 1974",Andy Anderson
102,"5' 6""",160 lbs.,,Orthodox,,Lowell Anderson
103,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",Corey Anderson
104,"6' 0""",155 lbs.,,,"Feb 02, 1990",Derek Anderson
105,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",Megan Anderson
106,"5' 11""",200 lbs.,,Orthodox,"May 14, 1974",Alex Andrade
107,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",Jessica Andrade
108,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",Viscardi Andrade
109,"5' 7""",200 lbs.,,Orthodox,,Jermaine Andre
110,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",Dylan Andrews
111,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",Reese Andy
112,"6' 3""",205 lbs.,,Orthodox,"Jul 23, 1991",Julius Anglickas
113,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",Collin Anglin
114,"5' 11""",205 lbs.,,Orthodox,"Mar 28, 1967",Yoji Anjo
115,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",Magomed Ankalaev
116,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",Nina Ansaroff
117,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",Gadzhimurad Antigulov
118,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",Adam Antolin
119,,205 lbs.,,Orthodox,,Angelo Antonio
120,"6' 1""",251 lbs.,,Orthodox,"Aug 05, 1981",Azunna Anyanwu
121,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",Shinsho Anzai
122,"5' 11""",154 lbs.,,Southpaw,"May 09, 1983",Shinya Aoki
123,"5' 10""",255 lbs.,,Southpaw,"Jun 19, 1983",Josh Appelt
124,"6' 0""",170 lbs.,,Orthodox,"Aug 26, 1977",Erik Apple
125,"5' 10""",145 lbs.,,Southpaw,"Oct 05, 1979",Kenji Arai
126,"5' 10""",170 lbs.,,Orthodox,"Dec 02, 1977",Romie Aram
127,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",Felipe Arantes
128,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",Igor Araujo
129,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",Viviane Araujo
130,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",Julio Arce
131,"5' 8""",145 lbs.,,,"Oct 15, 1981",Art Arciniega
132,,155 lbs.,,,,Tristan Arenal
133,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",Andrei Arlovski
134,,,,,,Joey Armstrong
135,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",Austin Arnett
136,"5' 11""",205 lbs.,,Orthodox,"Jul 17, 1978",Ricardo Arona
137,"5' 11""",205 lbs.,,Orthodox,"May 28, 1975",Chalid Arrab
138,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",Akbarh Arreola
139,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",Matt Arroyo
140,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",Antonio Arroyo
141,"5' 9""",190 lbs.,,Southpaw,,Gilles Arsene
142,"5' 7""",125 lbs.,,,,Veta Arteaga
143,"5' 11""",155 lbs.,,Orthodox,"Jan 31, 1991",Cesar Arzamendia
144,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",Teddy Ash
145,"5' 6""",125 lbs.,,,"Jan 14, 1992",Arman Ashimov
146,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",Askar Askarov
147,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",Cyril Asker
148,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",Scott Askham
149,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",Ben Askren
150,"6' 3""",205 lbs.,,,"Apr 23, 1996",Ibo Aslan
151,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",Tom Aspinall
152,"6' 2""",185 lbs.,,Orthodox,"May 23, 1992",Bruno Assis
153,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",Junior Assuncao
154,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",Raphael Assuncao
155,"6' 1""",230 lbs.,,Orthodox,,Bazigit Atajev
156,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",Rich Attonito
157,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",Olivier Aubin-Mercier
158,"6' 0""",155 lbs.,,Orthodox,"Apr 16, 1986",Pat Audinwood
159,"6' 3""",251 lbs.,,,"Mar 28, 1992",Jose Augusto
160,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",Marcus Aurelio
161,"5' 9""",185 lbs.,,Orthodox,,David Avellan
162,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",Blas Avena
163,"6' 1""",170 lbs.,,,"May 17, 1982",Levi Avera
164,"5' 7""",145 lbs.,,,"Dec 29, 1988",Anthony Avila
165,"5' 10""",145 lbs.,,Orthodox,"Jan 16, 1993",Chris Avila
166,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",Julia Avila
167,"5' 11""",155 lbs.,,,"Jun 07, 1983",Saad Awad
168,,,,,,Javy Ayala
169,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",Jessin Ayari
170,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",Abu Azaitar
171,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",Ottman Azaitar
172,"5' 9""",154 lbs.,,Orthodox,"Jun 10, 1976",Luiz Azeredo
173,"6' 3""",161 lbs.,,Orthodox,"Jun 25, 1981",Luciano Azevedo
174,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",Hunter Azure
175,"6' 1""",145 lbs.,,Orthodox,"Aug 22, 1989",Niklas Backstrom
176,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",Seth Baczynski
177,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",Ryan Bader
178,"5' 5""",115 lbs.,,Orthodox,"Jul 11, 1991",Izabela Badurek
179,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",Miguel Baeza
180,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",Ali Bagautinov
181,"6' 1""",155 lbs.,,Orthodox,"Apr 13, 1985",Mehdi Baghdad
182,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",Melsik Baghdasaryan
183,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",Siyar Bahadurzada
184,"6' 1""",155 lbs.,,,"Aug 27, 1997",Ignacio Bahamondes
185,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",Shamar Bailey
186,"5' 9""",145 lbs.,,,,Jordan Bailey
187,"6' 0""",210 lbs.,,,,Scott Baker
188,"6' 3""",185 lbs.,,Orthodox,"Oct 13, 1985",Bryan Baker
189,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",Oluwale Bamgbose
190,"6' 0""",145 lbs.,,,"Dec 07, 1990",Stephen Banaszak
191,"5' 10""",155 lbs.,,Orthodox,"Oct 10, 1989",Marcin Bandel
192,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",Humberto Bandenay
193,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",Tae Hyun Bang
194,,,,,,Yohan Banks
195,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",Antonio Banuelos
196,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",Renan Barao
197,"5' 10""",170 lbs.,,Orthodox,"Jan 25, 1982",Junior Barata
198,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",Maycee Barber
199,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",Bryan Barberena
200,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",Edson Barboza
201,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",Raoni Barcelos
202,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",Luke Barnatt
203,"5' 8""",145 lbs.,,,,James Barnes
204,"5' 11""",170 lbs.,,,,Nick Barnes
205,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",Josh Barnett
206,,,,,,Chris Barnhizer
207,"5' 6""",155 lbs.,,Switch,"Feb 15, 1973",David Baron
208,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",Phil Baroni
209,"5' 9""",170 lbs.,,Orthodox,"Dec 23, 1980",Dan Barrera
210,"6' 4""",230 lbs.,,Orthodox,,Carlos Barreto
211,,185 lbs.,,Southpaw,,Jose Barreto
212,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",Peter Barrett
213,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",Marc-Andre Barriault
214,"5' 6""",145 lbs.,,,,David Barrios
215,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976",Alexandre Barros
216,"6' 1""",205 lbs.,,,"Mar 22, 1976",Ricardo Barros
217,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",Francimar Barroso
218,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",Pat Barry
219,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",Enrique Barzola
220,"5' 9""",145 lbs.,,Orthodox,"Nov 14, 1982",Stephen Bass
221,,155 lbs.,,,,Sean Bassett
222,"5' 5""",135 lbs.,,,,Ryan Bastianelli
223,"5' 7""",135 lbs.,,Orthodox,"Aug 08, 1980",Shayna Baszler
224,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",Danaa Batgerel
225,"6' 3""",260 lbs.,,Orthodox,"Apr 20, 1984",Michel Batista
226,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",Mario Bautista
227,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",Chris Beal
228,"5' 11""",170 lbs.,,Southpaw,,Rudy Bears
229,"5' 9""",155 lbs.,,,,Salvador Becerra
230,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990",Ariel Beck
231,"5' 6""",145 lbs.,,Orthodox,"Feb 06, 1970",Jeff Bedard
232,"6' 2""",239 lbs.,,,"Sep 11, 1984",Eric Bedard
233,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",Johnny Bedford
234,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985",Chase Beebe
235,"5' 10""",155 lbs.,,Southpaw,"Feb 05, 1979",Lyle Beerbohm
236,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",Mirsad Bektic
237,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",Diana Belbita
238,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",Alan Belcher
239,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",Vitor Belfort
240,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",Danilo Belluardo
241,"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",Joey Beltran
242,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",Marco Beltran
243,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",Joseph Benavidez
244,"6' 0""",215 lbs.,,Orthodox,,Mike Bencic
245,"6' 2""",250 lbs.,,Orthodox,,Dave Beneteau
246,"5' 3""",113 lbs.,,,,Karla Benitez
247,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",Gabriel Benitez
248,"5' 8""",155 lbs.,,Orthodox,"Nov 23, 1979",Charles Bennett
249,"6' 4""",259 lbs.,,Orthodox,,Josh Bennett
250,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",DeAnna Bennett
251,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988",Lance Benoist
252,"5' 9""",170 lbs.,,Orthodox,"Mar 12, 1982",Joe Benoit
253,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",Ryan Benoit
254,"5' 9""",155 lbs.,,,,Pat Benson
255,"5' 9""",155 lbs.,,,"Nov 30, 1982",Len Bentley
256,"5' 11""",170 lbs.,,Orthodox,"May 20, 1973",Steve Berger
257,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 26, 1989",Kenneth Bergh
258,"5' 9""",170 lbs.,,,"Nov 24, 1973",Bret Bergmark
259,"6' 0""",205 lbs.,,Orthodox,"Nov 14, 1985",Keith Berish
260,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",Dennis Bermudez
261,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",Manny Bermudez
262,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",Talita Bernardo
263,,,,,,Dave Berry
264,"6' 1""",185 lbs.,,,"Oct 25, 1987",Keith Berry
265,"5' 9""",200 lbs.,,,,Dieusel Berto
266,"5' 6""",155 lbs.,,Orthodox,"Jul 05, 1983",Edson Berto
267,"5' 8""",155 lbs.,,Orthodox,"Aug 25, 1974",Allen Berube
268,"6' 2""",205 lbs.,,Orthodox,"Sep 29, 1989",Anton Berzin
269,"6' 4""",245 lbs.,,,,Scott Bessac
270,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",Matt Bessette
271,"6' 6""",185 lbs.,"76""",,"Jul 16, 1988",Khadzhi Bestaev
272,,170 lbs.,,,"Mar 10, 1980",Fernando Bettega
273,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",Arjan Bhullar
274,"6' 4""",185 lbs.,,,"Oct 12, 1991",KB Bhullar
275,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",Magomed Bibulatov
276,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",David Bielkheden
277,"5' 9""",205 lbs.,,Orthodox,"Nov 14, 1977",Jeremiah Billington
278,"5' 10""",170 lbs.,,,,Scott Bills
279,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",Anthony Birchak
280,"6' 3""",205 lbs.,,Switch,"Jun 05, 1987",Chris Birchler
281,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",Michael Bisping
282,"5' 9""",185 lbs.,,Orthodox,,Amaury Bitetti
283,,205 lbs.,,,"Apr 05, 1991",Simon Biyong
284,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",Jan Blachowicz
285,"5' 8""",155 lbs.,,Orthodox,"Jul 15, 1972",Jason Black
286,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",Brad Blackburn
287,,,,,,Jason Blackford
288,,205 lbs.,,Orthodox,,Tom Blackledge
289,"5' 11""",155 lbs.,"75""",Orthodox,"Aug 16, 1993",Sherrard Blackledge
290,"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",Maximo Blanco
291,"5' 7""",145 lbs.,,,,David Blanco
292,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",Curtis Blaydes
293,"5' 5""",145 lbs.,,,"Apr 11, 1983",Arlene Blencowe
294,"5' 8""",135 lbs.,,Orthodox,"Aug 16, 1983",Byron Bloodworth
295,"6' 0""",205 lbs.,,Orthodox,"Feb 29, 1988",Dashawn Boatwright
296,"6' 2""",345 lbs.,,Southpaw,"Jan 26, 1970",Dan Bobish
297,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",Mark Bocek
298,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987",Kyle Bochniak
299,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",James Bochnovic
300,,,,,,Jeremy Boczulak
301,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",Tim Boetsch
302,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",Galore Bofando
303,,145 lbs.,,,,Jay Bogan
304,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",Roman Bogatov
305,"6' 4""",260 lbs.,,,,Derek Bohi
306,"5' 11""",199 lbs.,,Orthodox,"Feb 12, 1974",Jerry Bohlander
307,"5' 9""",154 lbs.,,Orthodox,"May 27, 1977",Kotetsu Boku
308,"6' 2""",185 lbs.,,,,Kyle Bolt
309,"6' 2""",205 lbs.,,,,Luc Bondole
310,"6' 2""",185 lbs.,,,,Tony Bonello
311,"6' 0""",185 lbs.,,Orthodox,"Aug 28, 1980",Jesse Bongfeldt
312,"5' 10""",145 lbs.,,,,Marcos Bonilla
313,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",Stephan Bonnar
314,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",Rogerio Bontorin
315,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",Ray Borg
316,"6' 0""",235 lbs.,,Orthodox,,Igor Borisov
317,"5' 8""",170 lbs.,"72""",Switch,"May 24, 1988",Calen Born
318,"6' 2""",255 lbs.,"75""",Orthodox,"Aug 02, 1991",Tanner Boser
319,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",Steve Bosse
320,"6' 1""",215 lbs.,,Orthodox,,Marcus Bossett
321,,,,,,Chris Bostick
322,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",Poliana Botelho
323,"6' 2""",260 lbs.,,Orthodox,"Sep 28, 1968",Francois Botha
324,"6' 2""",183 lbs.,,Switch,,Gregory Bouchelaghem
325,"6' 0""",205 lbs.,,,,Roy Boughton
326,"5' 7""",170 lbs.,,,,Rich Bouphanouvong
327,"6' 0""",275 lbs.,,Orthodox,,Mike Bourke
328,,155 lbs.,,,,Jess Bouscal
329,"5' 11""",230 lbs.,,,,Tai Bowden
330,"6' 0""",225 lbs.,,Orthodox,"Jul 16, 1969",Melton Bowen
331,"6' 3""",185 lbs.,"73""",Orthodox,"Dec 22, 1993",Kyron Bowen
332,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",Brian Bowles
333,"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",Roger Bowling
334,"6' 2""",170 lbs.,,,,Blake Bowman
335,"5' 9""",155 lbs.,,,"Nov 17, 1976",Ashe Bowman
336,"5' 7""",145 lbs.,,,,Colley  Bradford
337,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",Kyle Bradley
338,"5' 9""",170 lbs.,,Orthodox,"Jun 13, 1983",Paul Bradley
339,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",Sean Brady
340,"6' 0""",199 lbs.,,Orthodox,"Apr 14, 1969",Ebenezer Fontes Braga
341,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 17, 1992",Ramiz Brahimaj
342,"5' 8""",155 lbs.,,Orthodox,"Aug 23, 1983",Joe Brammer
343,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",David Branch
344,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987",Diego Brandao
345,,155 lbs.,,,,Michael Bravo
346,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",Martin Bravo
